Prompt,Motions,IO,KRL_Code
"Weld two car doors at welding station using arc welding","PTP + LIN","$OUT[10]=TRUE, WAIT SEC 3, $OUT[10]=FALSE","DEF Weld_Doors()
   PTP WELD_START
   LIN DOOR1
   $OUT[10] = TRUE
   WAIT SEC 3
   $OUT[10] = FALSE
   LIN DOOR2
END"
"Move box from conveyor belt to pallet in warehouse","PTP + LIN","$OUT[1]=TRUE, $OUT[1]=FALSE","DEF Move_Box_To_Pallet()
   PTP CONVEYOR_POS
   LIN PALLET_POS
   $OUT[1] = TRUE
   $OUT[1] = FALSE
END"
"Assist in medical test by placing sample tube in slot","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE","DEF Place_Medical_Tube()
   PTP START_POS
   LIN SLOT_POS
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
END"
"Place electronic chip on PCB and solder the contact points","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2, $OUT[6]=FALSE","DEF Solder_Chip()
   PTP PICK_CHIP
   LIN PLACE_ON_PCB
   $OUT[6] = TRUE
   WAIT SEC 2
   $OUT[6] = FALSE
END"
"3D print concrete layer along linear path","LIN","$OUT[2]=TRUE, WAIT SEC 5","DEF Print_Concrete_Layer()
   LIN PATH_START
   $OUT[2] = TRUE
   WAIT SEC 5
END"
"Pack chocolate boxes into cartons and seal the flap","LIN + PTP","$OUT[7]=TRUE, $OUT[8]=TRUE","DEF Pack_Chocolates()
   LIN PICK_BOX
   PTP CARTON_POS
   $OUT[7] = TRUE
   $OUT[8] = TRUE
END"
"Carve a wooden block following a pre-set toolpath","CIRC","$OUT[9]=TRUE","DEF Carve_Wood()
   CIRC TOOLPATH_START, TOOLPATH_END
   $OUT[9] = TRUE
END"
"Drill holes in aircraft panel at positions P1 to P5","PTP + LIN","$OUT[11]=TRUE, WAIT SEC 1","DEF Drill_Aircraft_Panel()
   PTP PANEL_START
   LIN P1
   LIN P2
   LIN P3
   LIN P4
   LIN P5
   $OUT[11] = TRUE
   WAIT SEC 1
END"
"Pick a food item and place into a packaging tray","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 1, $OUT[3]=FALSE","DEF Pick_And_Pack_Food()
   PTP FOOD_POS
   LIN TRAY_POS
   $OUT[3] = TRUE
   WAIT SEC 1
   $OUT[3] = FALSE
END"
"Paint a metal frame using spray nozzle from top to bottom","LIN","$OUT[4]=TRUE, WAIT SEC 4, $OUT[4]=FALSE","DEF Paint_Frame()
   LIN TOP_FRAME
   LIN BOTTOM_FRAME
   $OUT[4] = TRUE
   WAIT SEC 4
   $OUT[4] = FALSE
END"
"Move to charging station and connect power supply","PTP","$OUT[2]=TRUE","DEF Move_To_Charge()
   PTP CHARGE_POS
   $OUT[2] = TRUE
END"
"Check for object using sensor before picking","PTP","IF $IN[4]==TRUE","DEF Sensor_Check_Then_Pick()
   IF $IN[4] == TRUE THEN
      PTP PICK_POINT
   ENDIF
END"
"Pick solar panel, tilt to 30 degrees, and place on rack","PTP + LIN","$OUT[7]=TRUE","DEF Place_Solar_Panel()
   PTP PICK_PANEL
   LIN TILT_30
   LIN PLACE_RACK
   $OUT[7] = TRUE
END"
"Wait for signal then rotate arm to welding angle","PTP","WAIT FOR $IN[5], $OUT[10]=TRUE","DEF Weld_Angle_Signal()
   WAIT FOR $IN[5]
   PTP WELD_ANGLE
   $OUT[10] = TRUE
END"
"Sort items by moving from input to bin based on size","LIN + LIN","$OUT[3]=TRUE, WAIT SEC 2","DEF Sort_By_Size()
   LIN INFEED
   LIN SIZE_BIN
   $OUT[3] = TRUE
   WAIT SEC 2
END"
"Inspect product with camera and flash light briefly","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Inspect_With_Camera()
   PTP CAMERA_POS
   LIN INSPECT
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Follow curved path around obstacle to reach endpoint","CIRC","$OUT[1]=TRUE","DEF Curve_Path_Navigate()
   CIRC CURVE_START, CURVE_END
   $OUT[1] = TRUE
END"
"Place tool in holder and turn off motor","PTP","$OUT[9]=FALSE","DEF Place_Tool_Off()
   PTP TOOL_HOLDER
   $OUT[9] = FALSE
END"
"Approach assembly part, screw bolt, and return","LIN + PTP","$OUT[11]=TRUE","DEF Screw_Bolt()
   LIN APPROACH_PART
   $OUT[11] = TRUE
   PTP RETURN_POS
END"
"Pick glass sheet with vacuum and gently place in frame","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 3, $OUT[5]=FALSE","DEF Handle_Glass()
   PTP GLASS_PICK
   LIN FRAME_PLACE
   $OUT[5] = TRUE
   WAIT SEC 3
   $OUT[5] = FALSE
END"
Align and weld metal pipe sections in fabrication shop,PTP + LIN,"$OUT[12]=TRUE, WAIT SEC 3, $OUT[12]=FALSE","DEF Weld_Pipes()
   PTP PIPE_START
   LIN PIPE_JOINT
   $OUT[12] = TRUE
   WAIT SEC 3
   $OUT[12] = FALSE
END"
Scan barcode on box and move to scanner station,PTP + LIN,"$OUT[2]=TRUE, WAIT SEC 1","DEF Scan_Box()
   PTP BOX_POS
   LIN SCANNER_POS
   $OUT[2] = TRUE
   WAIT SEC 1
END"
Adjust robotic camera angle for visual inspection,PTP,$OUT[6]=TRUE,"DEF Adjust_Camera()
   PTP CAMERA_POS
   $OUT[6] = TRUE
END"
Apply adhesive to panel edges in vehicle assembly,LIN + LIN,"$OUT[7]=TRUE, WAIT SEC 2","DEF Apply_Adhesive()
   LIN PANEL_EDGE_1
   LIN PANEL_EDGE_2
   $OUT[7] = TRUE
   WAIT SEC 2
END"
Clean solar panel surface using wiper attachment,LIN,"$OUT[9]=TRUE, WAIT SEC 5, $OUT[9]=FALSE","DEF Clean_Solar_Panel()
   LIN PANEL_START
   $OUT[9] = TRUE
   WAIT SEC 5
   $OUT[9] = FALSE
END"
Pick and orient gear before placing into gearbox,PTP + LIN + LIN,"$OUT[1]=TRUE, WAIT SEC 1","DEF Orient_Gear()
   PTP GEAR_PICK
   LIN ORIENT_POS
   LIN PLACE_GEARBOX
   $OUT[1] = TRUE
   WAIT SEC 1
END"
Drill bolt holes in engine block at fixed positions,PTP + LIN,$OUT[4]=TRUE,"DEF Drill_Engine_Block()
   PTP ENGINE_POS
   LIN BOLT_HOLE_POS
   $OUT[4] = TRUE
END"
Test touchscreen with contact probe at three points,PTP + LIN + LIN,"$OUT[10]=TRUE, WAIT SEC 1, $OUT[10]=FALSE","DEF Test_Touchscreen()
   PTP SCREEN_START
   LIN POINT1
   LIN POINT2
   LIN POINT3
   $OUT[10] = TRUE
   WAIT SEC 1
   $OUT[10] = FALSE
END"
Cut plastic sheet into shape using hot wire tool,LIN,$OUT[5]=TRUE,"DEF Cut_Plastic()
   LIN CUT_PATH_START
   $OUT[5] = TRUE
END"
Transport fragile component using soft gripper,PTP + LIN,"$OUT[8]=TRUE, WAIT SEC 3, $OUT[8]=FALSE","DEF Transport_Fragile()
   PTP PICK_FRAGILE
   LIN PLACE_FRAGILE
   $OUT[8] = TRUE
   WAIT SEC 3
   $OUT[8] = FALSE
END"
Spray disinfectant on medical tools in cleaning bay,PTP + LIN,"$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Disinfect_Tools()
   PTP CLEANING_START
   LIN TOOLS_POS
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
Position tire under car chassis for assembly,PTP + LIN,$OUT[1]=TRUE,"DEF Position_Tire()
   PTP TIRE_POS
   LIN UNDER_CAR
   $OUT[1] = TRUE
END"
Laser engrave ID on metallic component surface,LIN,"$OUT[6]=TRUE, WAIT SEC 4, $OUT[6]=FALSE","DEF Laser_Engrave()
   LIN ENGRAVE_PATH
   $OUT[6] = TRUE
   WAIT SEC 4
   $OUT[6] = FALSE
END"
Move parts from storage to machine loading area,PTP + LIN,"$OUT[2]=TRUE, WAIT SEC 1","DEF Move_To_Machine()
   PTP STORAGE_POS
   LIN MACHINE_LOAD
   $OUT[2] = TRUE
   WAIT SEC 1
END"
Perform arc welding on vehicle frame at joints,LIN + LIN,$OUT[12]=TRUE,"DEF Arc_Weld_Frame()
   LIN FRAME_POS1
   LIN FRAME_POS2
   $OUT[12] = TRUE
END"
Insert battery into casing and press into place,PTP + LIN,"$OUT[5]=TRUE, WAIT SEC 2, $OUT[5]=FALSE","DEF Insert_Battery()
   PTP BATTERY_PICK
   LIN CASING_POS
   $OUT[5] = TRUE
   WAIT SEC 2
   $OUT[5] = FALSE
END"
Dip metal rod into cooling tank after heating,PTP + LIN,"$OUT[9]=TRUE, WAIT SEC 3","DEF Cool_Metal_Rod()
   PTP HEAT_END
   LIN COOL_TANK
   $OUT[9] = TRUE
   WAIT SEC 3
END"
Sort parcels based on barcode scan results,PTP + LIN + LIN,"$OUT[4]=TRUE, WAIT SEC 2","DEF Sort_Parcels()
   PTP SCAN_AREA
   LIN SORT_PATH1
   LIN SORT_PATH2
   $OUT[4] = TRUE
   WAIT SEC 2
END"
Load sheet metal onto bending machine,PTP + LIN,$OUT[7]=TRUE,"DEF Load_Sheet_Metal()
   PTP SHEET_STORAGE
   LIN BEND_MACHINE
   $OUT[7] = TRUE
END"
Tighten screws on control panel using tool head,LIN + PTP,"$OUT[11]=TRUE, WAIT SEC 1","DEF Tighten_Screws()
   LIN PANEL_START
   PTP SCREW_POS
   $OUT[11] = TRUE
   WAIT SEC 1
END"
Attach windshield to car frame,PTP + LIN,"$OUT[1]=TRUE, WAIT SEC 2, $OUT[1]=FALSE","DEF Attach_Windshield()
   PTP GLASS_PICK
   LIN CAR_FRAME_POS
   $OUT[1] = TRUE
   WAIT SEC 2
   $OUT[1] = FALSE
END"
Measure temperature using infrared sensor,PTP,"$OUT[6]=TRUE, WAIT SEC 1","DEF Measure_Temperature()
   PTP SENSOR_POS
   $OUT[6] = TRUE
   WAIT SEC 1
END"
Place tray on conveyor after heat treatment,LIN + PTP,"$OUT[4]=TRUE","DEF Place_Tray()
   LIN HEAT_END
   PTP CONVEYOR_LOAD
   $OUT[4] = TRUE
END"
Weld bicycle frame at three connection points,LIN + LIN,"$OUT[7]=TRUE","DEF Weld_Bike_Frame()
   LIN POINT1
   LIN POINT2
   LIN POINT3
   $OUT[7] = TRUE
END"
Open valve and insert probe into pipe,PTP + LIN,"$OUT[8]=TRUE, WAIT SEC 3","DEF Insert_Probe()
   PTP VALVE_POS
   LIN PIPE_ENTRY
   $OUT[8] = TRUE
   WAIT SEC 3
END"
Transfer parts from bin A to bin B,LIN + LIN,"$OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Transfer_Bins()
   LIN BIN_A
   LIN BIN_B
   $OUT[2] = TRUE
   WAIT SEC 1
   $OUT[2] = FALSE
END"
Spray paint bumper with even coating,LIN,"$OUT[9]=TRUE, WAIT SEC 5, $OUT[9]=FALSE","DEF Spray_Bumper()
   LIN START_SPRAY
   LIN END_SPRAY
   $OUT[9] = TRUE
   WAIT SEC 5
   $OUT[9] = FALSE
END"
Perform visual check using camera module,PTP,"$OUT[3]=TRUE","DEF Visual_Check()
   PTP CAMERA_POS
   $OUT[3] = TRUE
END"
Turn on laser for cutting along path,LIN,"$OUT[10]=TRUE","DEF Laser_Cut()
   LIN CUT_PATH_START
   $OUT[10] = TRUE
END"
Remove defective item from conveyor,LIN + PTP,"$OUT[5]=TRUE, WAIT SEC 1","DEF Remove_Defective()
   LIN DEFECT_POS
   PTP DISCARD_BIN
   $OUT[5] = TRUE
   WAIT SEC 1
END"
"Operate hydraulic press for stamping metal parts","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 3, $OUT[2]=FALSE","DEF Operate_Hydraulic_Press()
   PTP PRESS_START
   LIN STAMP_POS
   $OUT[2] = TRUE
   WAIT SEC 3
   $OUT[2] = FALSE
END"
"Pick and place circuit board into soldering tray","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2, $OUT[4]=FALSE","DEF Place_Circuit_Board()
   PTP BOARD_PICK
   LIN SOLDER_TRAY
   $OUT[4] = TRUE
   WAIT SEC 2
   $OUT[4] = FALSE
END"
"Scan QR code and route item to output belt","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Scan_And_Route()
   PTP SCAN_POS
   LIN OUTPUT_BELT
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Clean robotic arm nozzle using air blast","PTP","$OUT[7]=TRUE, WAIT SEC 2, $OUT[7]=FALSE","DEF Clean_Nozzle()
   PTP NOZZLE_POS
   $OUT[7] = TRUE
   WAIT SEC 2
   $OUT[7] = FALSE
END"
"Pick automotive mirror and align to body panel","PTP + LIN","$OUT[3]=TRUE","DEF Align_Mirror()
   PTP MIRROR_POS
   LIN BODY_PANEL
   $OUT[3] = TRUE
END"
"Apply glue bead along edge of display unit","LIN","$OUT[8]=TRUE, WAIT SEC 4, $OUT[8]=FALSE","DEF Apply_Glue()
   LIN EDGE_PATH_START
   LIN EDGE_PATH_END
   $OUT[8] = TRUE
   WAIT SEC 4
   $OUT[8] = FALSE
END"
"Drill mounting holes in control cabinet panel","PTP + LIN","$OUT[9]=TRUE, WAIT SEC 2","DEF Drill_Control_Panel()
   PTP PANEL_POS
   LIN DRILL_POS
   $OUT[9] = TRUE
   WAIT SEC 2
END"
"Sort defective batteries using vision sensor","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1","DEF Sort_Batteries()
   PTP VISION_SCAN
   LIN SORT_BIN
   $OUT[5] = TRUE
   WAIT SEC 1
END"
"Place finished PCB into storage rack","PTP + LIN","$OUT[1]=TRUE","DEF Store_PCB()
   PTP PCB_OUTPUT
   LIN RACK_POS
   $OUT[1] = TRUE
END"
"Cool welded part by holding under fan for 5 sec","LIN","$OUT[10]=TRUE, WAIT SEC 5, $OUT[10]=FALSE","DEF Cool_Welded_Part()
   LIN FAN_POSITION
   $OUT[10] = TRUE
   WAIT SEC 5
   $OUT[10] = FALSE
END"
"Insert fuse into control unit securely","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE","DEF Insert_Fuse()
   PTP FUSE_PICK
   LIN CONTROL_UNIT
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
END"
"Pick syringe and place into sterile rack","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Place_Syringe()
   PTP SYRINGE_POS
   LIN STERILE_RACK
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Rotate robotic wrist to calibrate encoder","PTP","$OUT[6]=TRUE, WAIT SEC 1","DEF Calibrate_Wrist()
   PTP CALIBRATE_POS
   $OUT[6] = TRUE
   WAIT SEC 1
END"
"Place bread loaf on conveyor for slicing","PTP + LIN","$OUT[4]=TRUE","DEF Place_Bread()
   PTP BREAD_POS
   LIN SLICER_CONVEYOR
   $OUT[4] = TRUE
END"
"Lift package, weigh it, and place on scale belt","PTP + LIN + LIN","$OUT[7]=TRUE, WAIT SEC 2, $OUT[7]=FALSE","DEF Weigh_Package()
   PTP PACKAGE_START
   LIN WEIGH_STATION
   LIN SCALE_BELT
   $OUT[7] = TRUE
   WAIT SEC 2
   $OUT[7] = FALSE
END"
"Align metal sheet under press before stamping","PTP + LIN","$OUT[2]=TRUE","DEF Align_Sheet()
   PTP SHEET_LOAD
   LIN PRESS_POS
   $OUT[2] = TRUE
END"
"Insert pipe into connector and wait for seal","PTP + LIN","$OUT[8]=TRUE, WAIT SEC 3","DEF Seal_Pipe()
   PTP PIPE_POS
   LIN CONNECTOR_POS
   $OUT[8] = TRUE
   WAIT SEC 3
END"
"Scan RFID tag before placing item in bin","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1","DEF Scan_And_Place()
   PTP RFID_SCAN
   LIN STORAGE_BIN
   $OUT[6] = TRUE
   WAIT SEC 1
END"
"Apply thermal paste on processor evenly","LIN","$OUT[10]=TRUE, WAIT SEC 2, $OUT[10]=FALSE","DEF Apply_Thermal_Paste()
   LIN PASTE_START
   LIN PASTE_END
   $OUT[10] = TRUE
   WAIT SEC 2
   $OUT[10] = FALSE
END"
"Move empty tray to loading station","PTP + LIN","$OUT[1]=TRUE","DEF Move_Tray()
   PTP TRAY_RACK
   LIN LOADING_STATION
   $OUT[1] = TRUE
END"
"Inspect solar panel for dust using camera","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2","DEF Inspect_Solar_Panel()
   PTP CAMERA_BASE
   LIN PANEL_SURFACE
   $OUT[3] = TRUE
   WAIT SEC 2
END"
"Pick blood sample and place in analyzer slot","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Handle_Blood_Sample()
   PTP SAMPLE_RACK
   LIN ANALYZER_SLOT
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Seal packaged item using heated press","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 3, $OUT[2]=FALSE","DEF Seal_Package()
   PTP PACKAGE_READY
   LIN PRESS_PAD
   $OUT[2] = TRUE
   WAIT SEC 3
   $OUT[2] = FALSE
END"
"Mount camera module onto robotic frame","PTP + LIN","$OUT[5]=TRUE","DEF Mount_Camera()
   PTP CAMERA_PICK
   LIN FRAME_MOUNT
   $OUT[5] = TRUE
END"
"Insert plastic plug into test socket","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1","DEF Plug_Test_Socket()
   PTP PLUG_PICK
   LIN SOCKET_POS
   $OUT[4] = TRUE
   WAIT SEC 1
END"
"Apply label to finished box","PTP + LIN","$OUT[9]=TRUE, WAIT SEC 1, $OUT[9]=FALSE","DEF Label_Box()
   PTP LABEL_STATION
   LIN BOX_POS
   $OUT[9] = TRUE
   WAIT SEC 1
   $OUT[9] = FALSE
END"
"Rotate inspection mirror around gear housing","LIN","$OUT[7]=TRUE","DEF Inspect_Gear_Housing()
   LIN MIRROR_PATH_START
   LIN MIRROR_PATH_END
   $OUT[7] = TRUE
END"
"Cool down heated metal bracket","LIN","$OUT[10]=TRUE, WAIT SEC 4, $OUT[10]=FALSE","DEF Cool_Metal_Bracket()
   LIN COOL_ZONE
   $OUT[10] = TRUE
   WAIT SEC 4
   $OUT[10] = FALSE
END"
"Pick glass plate and lower into washer","PTP + LIN","$OUT[8]=TRUE, WAIT SEC 2, $OUT[8]=FALSE","DEF Wash_Glass()
   PTP GLASS_RACK
   LIN WASHER_SLOT
   $OUT[8] = TRUE
   WAIT SEC 2
   $OUT[8] = FALSE
END"
"Lift engine cover and hold in service position","PTP + LIN","$OUT[1]=TRUE","DEF Hold_Engine_Cover()
   PTP COVER_PICK
   LIN SERVICE_POS
   $OUT[1] = TRUE
END"
"Insert coolant tube into engine bay port","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 2, $OUT[2]=FALSE","DEF Insert_Coolant_Tube()
   PTP TUBE_PICK
   LIN ENGINE_PORT
   $OUT[2] = TRUE
   WAIT SEC 2
   $OUT[2] = FALSE
END"
"Clean conveyor belt with air jet","PTP","$OUT[6]=TRUE, WAIT SEC 3, $OUT[6]=FALSE","DEF Clean_Conveyor()
   PTP NOZZLE_POS
   $OUT[6] = TRUE
   WAIT SEC 3
   $OUT[6] = FALSE
END"
"Pick sensor and screw onto assembly board","PTP + LIN","$OUT[7]=TRUE, WAIT SEC 1","DEF Attach_Sensor()
   PTP SENSOR_PICK
   LIN BOARD_POS
   $OUT[7] = TRUE
   WAIT SEC 1
END"
"Position battery and lock with mechanical latch","PTP + LIN","$OUT[4]=TRUE","DEF Lock_Battery()
   PTP BATTERY_SLOT
   LIN LATCH_POS
   $OUT[4] = TRUE
END"
"Insert LED light into socket and test","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Insert_LED()
   PTP LED_PICK
   LIN SOCKET_POS
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Turn handle to open furnace chamber","PTP","$OUT[8]=TRUE","DEF Open_Furnace()
   PTP HANDLE_POS
   $OUT[8] = TRUE
END"
"Place circuit tester on terminal strip","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE","DEF Test_Circuit()
   PTP TESTER_PICK
   LIN TERMINAL_STRIP
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
END"
