Prompt,Motions,IO,KRL_Code
"Install cooling fan into computer cabinet","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2, $OUT[4]=FALSE","DEF Install_Cooling_Fan()
   PTP FAN_PICK
   LIN CABINET_SLOT
   $OUT[4] = TRUE
   WAIT SEC 2
   $OUT[4] = FALSE
END"
"Load beverage can onto conveyor line for sealing","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1","DEF Load_Beverage_Can()
   PTP CAN_PICK
   LIN CONVEYOR_POS
   $OUT[6] = TRUE
   WAIT SEC 1
END"
"Insert fiber optic module into network rack","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2, $OUT[5]=FALSE","DEF Insert_Optic_Module()
   PTP MODULE_PICK
   LIN RACK_SLOT
   $OUT[5] = TRUE
   WAIT SEC 2
   $OUT[5] = FALSE
END"
"Mount touchscreen panel on kiosk front panel","PTP + LIN","$OUT[7]=TRUE, WAIT SEC 2, $OUT[7]=FALSE","DEF Mount_Touch_Panel()
   PTP SCREEN_PICK
   LIN KIOSK_FRONT
   $OUT[7] = TRUE
   WAIT SEC 2
   $OUT[7] = FALSE
END"
"Insert ignition coil into engine block during vehicle assembly","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2, $OUT[4]=FALSE","DEF Insert_Ignition_Coil()
   PTP COIL_PICK
   LIN ENGINE_SLOT
   $OUT[4] = TRUE
   WAIT SEC 2
   $OUT[4] = FALSE
END"
"Place sterile instrument tray into autoclave chamber","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 3, $OUT[3]=FALSE","DEF Load_Autoclave_Tray()
   PTP TRAY_PICK
   LIN AUTOCLAVE_POS
   $OUT[3] = TRUE
   WAIT SEC 3
   $OUT[3] = FALSE
END"
"Install antenna unit on top of telecommunication mast","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 2","DEF Install_Antenna()
   PTP ANTENNA_PICK
   LIN MAST_TOP
   $OUT[5] = TRUE
   WAIT SEC 2
END"
"Place finished PCB onto quality inspection scanner","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 1","DEF Load_PCB_Scanner()
   PTP PCB_PICK
   LIN SCANNER_SLOT
   $OUT[2] = TRUE
   WAIT SEC 1
END"
"Insert book into library robotic sorter tray","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 1, $OUT[6]=FALSE","DEF Load_Book_Tray()
   PTP BOOK_PICK
   LIN SORTER_TRAY
   $OUT[6] = TRUE
   WAIT SEC 1
   $OUT[6] = FALSE
END"
"Install CPU onto motherboard socket in PC assembly","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Install_CPU()
   PTP CPU_PICK
   LIN MOTHERBOARD_SOCKET
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Load bread loaf into industrial slicer slot","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE","DEF Load_Bread_Slicer()
   PTP BREAD_PICK
   LIN SLICER_SLOT
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
END"
"Mount circuit breaker onto control panel rail","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Mount_Breaker()
   PTP BREAKER_PICK
   LIN PANEL_RAIL
   $OUT[2] = TRUE
   WAIT SEC 1
   $OUT[2] = FALSE
END"
"Insert lens into camera housing during assembly","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2","DEF Insert_Camera_Lens()
   PTP LENS_PICK
   LIN HOUSING_SLOT
   $OUT[6] = TRUE
   WAIT SEC 2
END"
"Place packaged meal into airplane trolley slot","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 1","DEF Load_Airline_Meal()
   PTP MEAL_PICK
   LIN TROLLEY_SLOT
   $OUT[4] = TRUE
   WAIT SEC 1
END"
"Place smartphone screen into alignment frame for bonding","PTP + LIN","$OUT[3]=TRUE, WAIT SEC 2, $OUT[3]=FALSE","DEF Align_Screen_Bonding()
   PTP SCREEN_PICK
   LIN ALIGNMENT_FRAME
   $OUT[3] = TRUE
   WAIT SEC 2
   $OUT[3] = FALSE
END"
"Insert syringe into medical packaging tray","PTP + LIN","$OUT[5]=TRUE, WAIT SEC 1","DEF Insert_Syringe()
   PTP SYRINGE_PICK
   LIN PACKAGING_TRAY
   $OUT[5] = TRUE
   WAIT SEC 1
END"
"Attach door hinge to smart home cabinet panel","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 2, $OUT[6]=FALSE","DEF Attach_Door_Hinge()
   PTP HINGE_PICK
   LIN CABINET_PANEL
   $OUT[6] = TRUE
   WAIT SEC 2
   $OUT[6] = FALSE
END"
"Place protective foam insert into electronics box","PTP + LIN","$OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Insert_Foam_Insert()
   PTP FOAM_PICK
   LIN BOX_SLOT
   $OUT[2] = TRUE
   WAIT SEC 1
   $OUT[2] = FALSE
END"
"Load paint cartridge into robotic spray system","PTP + LIN","$OUT[4]=TRUE, WAIT SEC 2","DEF Load_Paint_Cartridge()
   PTP CARTRIDGE_PICK
   LIN SPRAY_SYSTEM
   $OUT[4] = TRUE
   WAIT SEC 2
END"
"Perform multi-point welding on car chassis frame","PTP + LIN","$OUT[10]=TRUE, WAIT SEC 2, $OUT[10]=FALSE","DEF MultiPoint_Weld_Chassis()
   PTP START_POS
   LIN WELD_POINT1
   $OUT[10] = TRUE
   WAIT SEC 2
   $OUT[10] = FALSE
   LIN WELD_POINT2
   $OUT[10] = TRUE
   WAIT SEC 2
   $OUT[10] = FALSE
   LIN WELD_POINT3
   $OUT[10] = TRUE
   WAIT SEC 2
   $OUT[10] = FALSE
END"
"Sort defective bottles from production line using vision input","PTP + IF","IF $IN[8]==TRUE, $OUT[2]=TRUE, WAIT SEC 1, $OUT[2]=FALSE","DEF Sort_Defective_Bottles()
   PTP INSPECTION_POS
   IF $IN[8] == TRUE THEN
      PTP REJECT_BIN
      $OUT[2] = TRUE
      WAIT SEC 1
      $OUT[2] = FALSE
   ENDIF
END"
"Place gearbox into engine compartment with torque lock activation","PTP + LIN","$OUT[6]=TRUE, WAIT SEC 3, $OUT[6]=FALSE","DEF Place_Gearbox_Engine()
   PTP GEARBOX_PICK
   LIN ENGINE_SLOT
   $OUT[6] = TRUE
   WAIT SEC 3
   $OUT[6] = FALSE
END"
"Conduct circuit test on PCB and classify based on result","PTP + IF + LIN","IF $IN[9]==TRUE, LIN PASS_BIN, ELSE LIN FAIL_BIN","DEF Test_And_Classify_PCB()
   PTP TEST_POS
   WAIT SEC 1
   IF $IN[9] == TRUE THEN
      LIN PASS_BIN
   ELSE
      LIN FAIL_BIN
   ENDIF
END"
"Assist in assembling robotic arm by fixing joints and calibrating tool","PTP + LIN + WAIT","$OUT[4]=TRUE, WAIT SEC 3, $OUT[4]=FALSE","DEF Assemble_And_Calibrate_Arm()
   PTP BASE_JOINT
   $OUT[4] = TRUE
   WAIT SEC 3
   $OUT[4] = FALSE
   LIN ELBOW_JOINT
   $OUT[4] = TRUE
   WAIT SEC 3
   $OUT[4] = FALSE
   LIN TOOL_CALIBRATION_POS
   WAIT SEC 2
END"
"Automate battery pack installation, secure it with bolts, and verify sensor lock","PTP + LIN + IF","$OUT[6]=TRUE, WAIT SEC 2, IF $IN[2]==TRUE, $OUT[7]=TRUE","DEF Install_Battery_Pack()
   PTP BATTERY_PICK
   LIN INSTALL_SLOT
   $OUT[6] = TRUE
   WAIT SEC 2
   IF $IN[2] == TRUE THEN
      PTP BOLT_POS
      $OUT[7] = TRUE
   ENDIF
END"
"Pick up automotive windshield, align using vision feedback, place and seal","PTP + LIN + WAIT + IO","$OUT[5]=TRUE, WAIT SEC 1, $OUT[5]=FALSE, $OUT[6]=TRUE","DEF Install_Windshield_Aligned()
   PTP GLASS_PICK
   LIN ALIGNMENT_POS
   WAIT SEC 1
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
   LIN SEALING_POS
   $OUT[6] = TRUE
   WAIT SEC 2
END"
"Execute quality inspection loop for 3 parts and log defects based on sensor","PTP + LIN + IF + LOOP","LOOP 3x, IF $IN[3]==FALSE THEN $OUT[8]=TRUE","DEF Inspect_Parts_Loop()
   FOR INDEX = 1 TO 3
      PTP SCAN_START
      LIN PART_POS[INDEX]
      WAIT SEC 1
      IF $IN[3] == FALSE THEN
         $OUT[8] = TRUE
         PTP REJECT_BIN
      ENDIF
   ENDFOR
END"
"Automated tool exchange followed by bolt-tightening sequence and torque verification","PTP + WAIT + IO + IF","$OUT[9]=TRUE, WAIT SEC 2, IF $IN[5]==TRUE","DEF Tool_Change_And_Tighten()
   PTP TOOL_RACK
   $OUT[9] = TRUE
   WAIT SEC 2
   PTP BOLT_POS
   $OUT[10] = TRUE
   WAIT SEC 3
   IF $IN[5] == TRUE THEN
      $OUT[11] = TRUE
   ENDIF
END"
"Place electronics board, scan barcode, and route to test or reject based on scan input","PTP + LIN + IF","WAIT SEC 1, IF $IN[7]==TRUE THEN LIN TEST_BIN ELSE LIN REJECT_BIN","DEF Route_Board_After_Scan()
   PTP BOARD_PICK
   LIN SCANNER_POS
   WAIT SEC 1
   IF $IN[7] == TRUE THEN
      LIN TEST_BIN
   ELSE
      LIN REJECT_BIN
   ENDIF
END"
"Pharmaceutical vial inspection and sorting with retry mechanism","PTP + LIN + IF + LOOP","IF $IN[5]==TRUE THEN PASS ELSE RETRY max 2 times, ELSE REJECT","DEF Inspect_And_Sort_Vials()
   FOR VIAL = 1 TO 10
      PTP VIAL_PICK[VIAL]
      LIN INSPECTION_POS
      TRY_COUNT = 0
      CHECK:
      IF $IN[5] == TRUE THEN
         LIN PASS_BIN
      ELSE
         TRY_COUNT = TRY_COUNT + 1
         IF TRY_COUNT < 3 THEN
            GOTO CHECK
         ELSE
            LIN REJECT_BIN
         ENDIF
      ENDIF
   ENDFOR
END"
"Aerospace panel bolt check and auto-tighten with logging of failure location","PTP + LIN + IF + LOG","IF $IN[3]==FALSE THEN TIGHTEN, ELSE LOG","DEF Check_Tighten_And_Log()
   FOR BOLT = 1 TO 6
      PTP PANEL_POS[BOLT]
      IF $IN[3] == FALSE THEN
         $OUT[6] = TRUE
         WAIT SEC 2
         $OUT[6] = FALSE
      ELSE
         PTP LOG_STATION
         $OUT[9] = TRUE
         WAIT SEC 1
         $OUT[9] = FALSE
      ENDIF
   ENDFOR
END"
"Battery module connection with temperature monitoring and safety override","PTP + LIN + IF + MONITOR","IF TEMP > LIMIT THEN ABORT AND COOL","DEF Connect_Battery_Safe()
   PTP BATTERY_MODULE
   LIN CONNECTOR_PORT
   $OUT[5] = TRUE
   WAIT SEC 3
   IF $IN[7] == TRUE THEN
      PTP COOLING_POS
      $OUT[8] = TRUE
      WAIT SEC 5
      $OUT[8] = FALSE
      RETURN
   ENDIF
   $OUT[5] = FALSE
END"
"Advanced tool calibration routine with error correction if out of alignment","PTP + LIN + IF + CORRECTION","IF $IN[10]==FALSE THEN CALIBRATE AGAIN","DEF Tool_Calibration_Cycle()
   PTP TOOL_START
   LIN CALIBRATION_POS
   WAIT SEC 2
   IF $IN[10] == TRUE THEN
      $OUT[4] = TRUE
   ELSE
      LIN CORRECT_POS
      $OUT[4] = TRUE
      WAIT SEC 2
      $OUT[4] = FALSE
      GOTO CALIBRATION_POS
   ENDIF
END"
"Warehouse bin-picking with AI camera, handling unknown objects and retry if missed","PTP + LIN + IF + LOOP","IF $IN[6]==FALSE THEN RETRY up to 2, ELSE SKIP","DEF Smart_Bin_Picking()
   FOR ITEM = 1 TO 8
      PTP CAMERA_SCAN
      WAIT SEC 1
      PTP OBJECT_POS[ITEM]
      LIN PICK_ZONE
      IF $IN[6] == FALSE THEN
         RETRIES = 0
         REPEAT:
         RETRIES = RETRIES + 1
         PTP RE_ATTEMPT
         IF $IN[6] == TRUE OR RETRIES >= 2 THEN
            EXIT
         ELSE
            GOTO REPEAT
         ENDIF
      ENDIF
      LIN PLACE_BIN
   ENDFOR
END"
"Automated EV battery swapping including sensor check, unlock, replace, lock, and confirm","PTP + LIN + IF + IO + WAIT","$OUT[5]=TRUE, IF $IN[8]==TRUE, WAIT SEC 2, $OUT[6]=TRUE","DEF Swap_EV_Battery()
   PTP CHARGED_PACK_READY
   IF $IN[8] == TRUE THEN
      $OUT[5] = TRUE
      WAIT SEC 2
      LIN UNDOCK_POSITION
      PTP REMOVE_PACK
      LIN PLACE_PACK_BIN
      PTP NEW_PACK_PICK
      LIN INSTALL_SLOT
      $OUT[6] = TRUE
      WAIT SEC 2
      PTP CONFIRM_POS
   ELSE
      PTP ERROR_HANDLER
   ENDIF
END"
"Satellite panel folding test with torque validation and feedback logging for mission readiness","PTP + LIN + IF + WAIT + LOG","$OUT[3]=TRUE, IF $IN[10]==FALSE, LOG","DEF Fold_Satellite_Panels()
   PTP PANEL_EXTEND
   LIN FOLD_POS_A
   $OUT[3] = TRUE
   WAIT SEC 3
   LIN FOLD_POS_B
   IF $IN[10] == FALSE THEN
      PTP LOG_STATION
      $OUT[9] = TRUE
      WAIT SEC 1
      $OUT[9] = FALSE
   ENDIF
   LIN LOCK_POS
END"
"Biotech pipette arm calibration using camera feedback and pressure check with retry","PTP + LIN + IF + LOOP","IF $IN[2]==FALSE THEN retry MAX 2, ELSE mark error","DEF Pipette_Calibration()
   FOR ATTEMPT = 1 TO 2
      PTP TOOL_HOME
      LIN CALIBRATE_SPOT
      WAIT SEC 1
      IF $IN[2] == TRUE THEN
         $OUT[4] = TRUE
         EXIT
      ENDIF
   ENDFOR
   IF $IN[2] == FALSE THEN
      PTP ERROR_MARK
      $OUT[7] = TRUE
   ENDIF
END"
"Smart logistics box sorting by barcode, weight sensor, and AI bin routing","PTP + LIN + IF + SENSOR","IF $IN[3]==TRUE THEN PASS_BIN ELSE REJECT_BIN","DEF Smart_Logistics_Sort()
   PTP BOX_PICK
   LIN SCANNER_POS
   WAIT SEC 1
   IF $IN[3] == TRUE THEN
      IF $IN[4] == TRUE THEN
         LIN BIN_A
      ELSE
         LIN BIN_B
      ENDIF
   ELSE
      LIN REJECT_BIN
   ENDIF
END"
"Wind turbine blade inspection with 3-axis scan and vibration check per segment","PTP + LIN + LOOP + IF","LOOP SEGMENTS, $OUT[6]=TRUE, IF $IN[5]==FALSE THEN MARK","DEF Inspect_Turbine_Blade()
   FOR SEG = 1 TO 5
      PTP SEG_POS[SEG]
      LIN SCAN_PATH[SEG]
      $OUT[6] = TRUE
      WAIT SEC 2
      IF $IN[5] == FALSE THEN
         PTP MARK_SEGMENT
         $OUT[8] = TRUE
      ENDIF
   ENDFOR
   LIN END_POS
END"
"Install car windshield with adhesive application and UV curing after placement","PTP + LIN + IO + WAIT","$OUT[2]=TRUE, WAIT SEC 2, $OUT[3]=TRUE, WAIT SEC 5","DEF Install_Windshield_With_Cure()
   PTP PICK_WINDSHIELD
   LIN APPLY_GLUE
   $OUT[2] = TRUE
   WAIT SEC 2
   LIN PLACE_FRAME
   $OUT[2] = FALSE
   $OUT[3] = TRUE
   WAIT SEC 5
   $OUT[3] = FALSE
END"
"Conduct high-precision bolt torqueing on airplane fuselage and verify via sensor","PTP + LIN + IF + IO","$OUT[6]=TRUE, IF $IN[8]==FALSE THEN ALERT","DEF Torque_Bolts_On_Fuselage()
   FOR BOLT = 1 TO 6
      PTP BOLT_POS[BOLT]
      LIN TORQUE_POINT[BOLT]
      $OUT[6] = TRUE
      WAIT SEC 1
      $OUT[6] = FALSE
      IF $IN[8] == FALSE THEN
         PTP ALERT_POS
         $OUT[9] = TRUE
      ENDIF
   ENDFOR
END"
"Dispense precise chemical drops onto biochips and verify drop detection","PTP + LIN + SENSOR + WAIT","$OUT[4]=TRUE, WAIT SEC 1, IF $IN[6]==FALSE THEN LOG","DEF Dispense_Chemical_On_Chip()
   FOR CHIP = 1 TO 4
      PTP CHEM_PICK
      LIN CHIP_POS[CHIP]
      $OUT[4] = TRUE
      WAIT SEC 1
      $OUT[4] = FALSE
      IF $IN[6] == FALSE THEN
         PTP LOG_POS
         $OUT[7] = TRUE
         WAIT SEC 1
         $OUT[7] = FALSE
      ENDIF
   ENDFOR
END"
"Automate warehouse palletizing based on QR scan and item weight","PTP + LIN + IF","IF $IN[2]==TRUE AND $IN[3]==TRUE THEN PALLET_A ELSE PALLET_B","DEF Smart_Palletizing()
   PTP SCAN_POS
   WAIT SEC 1
   IF $IN[2] == TRUE AND $IN[3] == TRUE THEN
      PTP ITEM_PICK
      LIN PALLET_A
   ELSE
      PTP ITEM_PICK
      LIN PALLET_B
   ENDIF
END"
"Automate die press operation, monitor pressure, and halt on overload","PTP + WAIT + SENSOR","IF $IN[9]==TRUE THEN ABORT, ELSE CONTINUE","DEF Die_Press_Monitoring()
   PTP DIE_START
   $OUT[5] = TRUE
   WAIT SEC 2
   IF $IN[9] == TRUE THEN
      $OUT[5] = FALSE
      PTP ABORT_POS
   ELSE
      $OUT[6] = TRUE
      WAIT SEC 3
      $OUT[6] = FALSE
   ENDIF
END"
"Perform spot welding on car frame sections with pre-check and cooling","PTP + LIN + IF + IO + WAIT","$OUT[10]=TRUE, WAIT SEC 2, $OUT[10]=FALSE, IF $IN[7]==FALSE THEN SKIP","DEF Weld_Car_Frame()
   FOR SPOT = 1 TO 5
      PTP FRAME_POS[SPOT]
      IF $IN[7] == TRUE THEN
         $OUT[10] = TRUE
         WAIT SEC 2
         $OUT[10] = FALSE
      ELSE
         CONTINUE
      ENDIF
   ENDFOR
   PTP COOLING_STATION
   $OUT[3] = TRUE
   WAIT SEC 5
   $OUT[3] = FALSE
END"
"Assemble PCB into housing and verify proper placement using force sensor","PTP + LIN + IF + WAIT","$OUT[5]=TRUE, WAIT SEC 1, IF $IN[4]==FALSE THEN REPLACE","DEF Assemble_PCB_Tray()
   PTP PICK_PCB
   LIN INSERT_SLOT
   $OUT[5] = TRUE
   WAIT SEC 1
   $OUT[5] = FALSE
   IF $IN[4] == FALSE THEN
      LIN REMOVE_SLOT
      PTP RETRY_POS
   ENDIF
   PTP NEXT_TRAY
END"
"Pick boxes from shelf using barcode check and retry logic if not found","PTP + LIN + IF + LOOP + IO","IF $IN[2]==TRUE THEN PICK, ELSE RETRY UP TO 2","DEF Smart_Box_Picker()
   FOR ITEM = 1 TO 3
      PTP SCAN_POS[ITEM]
      WAIT SEC 1
      TRY = 0
      RETRY:
      IF $IN[2] == TRUE THEN
         LIN PICK_POS[ITEM]
         $OUT[1] = TRUE
         WAIT SEC 1
         $OUT[1] = FALSE
         LIN DROP_POS
      ELSE
         TRY = TRY + 1
         IF TRY < 3 THEN
            GOTO RETRY
         ELSE
            PTP ERROR_MARK
         ENDIF
      ENDIF
   ENDFOR
END"
"Perform layer-by-layer 3D printing and pause on nozzle error","LIN + IF + LOOP + WAIT + SENSOR","$OUT[2]=TRUE, IF $IN[5]==FALSE THEN PAUSE","DEF Print_Layered_Structure()
   $OUT[2] = TRUE
   FOR LAYER = 1 TO 5
      LIN LAYER_PATH[LAYER]
      WAIT SEC 3
      IF $IN[5] == FALSE THEN
         $OUT[2] = FALSE
         PTP PAUSE_POS
         EXIT
      ENDIF
   ENDFOR
   $OUT[2] = FALSE
   PTP COMPLETE_POS
END"
"Fill liquid into bottles, verify fill level, and apply label","PTP + LIN + IO + SENSOR + IF + WAIT","$OUT[8]=TRUE, IF $IN[3]==TRUE, $OUT[9]=TRUE","DEF Fill_And_Label_Bottles()
   FOR BOTTLE = 1 TO 6
      PTP BOTTLE_POS[BOTTLE]
      LIN FILL_NOZZLE_POS
      $OUT[8] = TRUE
      WAIT SEC 2
      $OUT[8] = FALSE
      IF $IN[3] == TRUE THEN
         LIN LABEL_POS
         $OUT[9] = TRUE
         WAIT SEC 1
         $OUT[9] = FALSE
      ELSE
         PTP REJECT_BIN
      ENDIF
   ENDFOR
END"

